Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Inter Globe Finance Ltd.,INTRGLB,Finance - NBFC,116.49,BSE,85.88,-2.00,1,2025-06,-5.68,2025-06,0,0,0.98,1,2025-03,0.03,3.23,4.81,"INTRGLB,"
Tomorrow Technologies Global Innovations Ltd.,TTGIL,Finance - Investment,116.07,BSE,10.29,1.68,2,2025-03,-4.88,2025-03,0,,7.57,2,2025-03,0,-32.33,-32.31,"TTGIL,"
Indian Infotech & Software Ltd.,INDINFO,Finance - Investment,115.53,BSE,0.69,-1.43,1,2025-06,-7.5,2025-06,0,0,0.37,1,2024-03,0,0.68,0.93,"INDINFO,"
Gujarat State Financial Corporation Ltd.,GUJSTATFIN,Finance Term Lending,113.26,BSE,12.73,-0.31,1,2025-06,-125.14,2025-06,0,0,-0.04,1,2025-03,-0.22,0,0,"GUJSTATFIN,"
Saumya Consultants Ltd.,SAUMYA,Finance - NBFC,107.54,BSE,155.70,4.92,1,2025-06,9.64,2025-06,11.16,0.34,0.83,1,2025-03,0.01,8.11,7.71,"SAUMYA,"
Haryana Capfin Ltd.,HARYNACAP,Finance - Investment,106.31,BSE,204.10,,1,2025-06,5.08,2025-06,20.94,0.95,0.32,1,2024-03,0,0.97,1.3,"HARYNACAP,"
Prithvi Exchange (India) Ltd.,PRITHVIEXCH,Finance - Others,105.27,BSE,127.60,1.63,2,2025-09,3.05,2025-09,31.39,,2.07,2,2025-03,0.07,17.37,23.94,"PRITHVIEXCH,"
Wallfort Financial Services Ltd.,WALLFORT,Finance - Investment,103.75,BSE,106.00,-1.94,1,2025-06,7.31,2025-06,14.19,0.7,0.59,1,2025-03,0,7.72,9.68,"WALLFORT,"
Corporate Merchant Bankers Ltd.,CMBL,Finance - Investment,103.69,BSE,314.20,2.00,1,2025-03,2.16,2025-03,47.94,0.16,17.68,1,2023-03,0.02,-0.24,-0.24,"CMBL,"
ACME Resources Ltd.,ACME,Finance - NBFC,103.26,BSE,40.16,0.25,2,2025-06,3.84,2025-06,26.95,0.65,0.78,2,2024-03,0.09,1.35,2.11,"ACME,"
Titan Securities Ltd.,TITANSEC,Finance - Investment,102.64,BSE,41.49,1.69,2,2025-06,0.98,2025-06,9.83,0.27,1.01,2,2025-03,0,1.19,1.58,"TITANSEC,"
My Mudra Fincorp Ltd.,MYMUDRA,Finance - Housing,101.96,NSE,89.50,0.06,1,2025-03,9.01,2025-03,11.32,,1.91,1,2025-03,0.07,25.81,31.36,"MYMUDRA,"
F Mec International Financial Services Ltd.,FMEC,Finance - NBFC,100.3,BSE,114.00,-1.13,1,2025-06,1.61,2025-06,62.26,0.73,7.05,1,2024-03,0.17,9.73,11.6,"FMEC,"
The Motor & General Finance Ltd.,MOTOGENFIN,Finance - NBFC,99.61,NSE,25.71,-1.34,2,2025-06,0.75,2025-06,139.12,8,1.99,2,2025-03,0,1.61,1.99,"MOTOGENFIN,"
Vibrant Global Capital Ltd.,VGCL,Finance - Investment,99.14,BSE,43.50,5.35,2,2025-06,-8.99,2025-06,0,0,0.64,2,2024-03,0.2,36.52,33.58,"VGCL,"
Chartered Capital & Investment Ltd.,CHRTEDCA,Finance - Investment,98.71,BSE,327.75,-5.00,1,2025-06,6.38,2025-06,15.47,0.23,0.58,1,2025-03,0.02,3.26,4.96,"CHRTEDCA,"
Fynx Capital Ltd.,FYNX,Finance - NBFC,98.28,BSE,49.14,-1.99,1,2025-09,-2.61,2025-09,0,,5.27,1,2024-03,0.08,-20.05,-23.39,"FYNX,"
Ramsons Projects Ltd.,RAMSONS,Finance - NBFC,95.94,BSE,319.10,4.98,1,2025-06,5.66,2025-06,16.96,0.17,5.86,1,2025-03,0,22.77,27.4,"RAMSONS,"
Supra Pacific Financial Services Ltd.,SUPRAPFSL,Finance - NBFC,95.44,BSE,28.67,3.50,1,2025-06,2.28,2025-06,41.82,0.59,1.32,1,2024-03,1.74,1.79,9.1,"SUPRAPFSL,"
Sodhani Capital Ltd.,SODHACAP,Finance - Others,93.71,BSE,117.95,4.24,1,,,2025-03,42.91,,5.84,1,2025-03,0.01,34.53,47.21,"SODHACAP,"
BLB Ltd.,BLBLIMITED,Finance - Stock Broking,91.4,NSE,17.04,-2.63,1,2025-09,12.52,2025-09,7.3,0.21,0.78,1,2025-03,0,3.99,6.58,"BLBLIMITED,"
Caspian Corporate Services Ltd.,CASPIAN,Finance - Others,90.77,BSE,7.25,1.54,2,2025-06,-0.45,2025-06,0,,3.12,2,2024-03,1.41,34.12,20.63,"CASPIAN,"
Capital Trust Ltd.,CAPTRUST,Finance - NBFC,88.82,NSE,25.95,-3.46,1,2025-06,-7.95,2025-06,0,0,0.87,1,2025-03,1.18,1.37,12.24,"CAPTRUST,"
DB (International) Stock Brokers Ltd.,DBSTOCKBRO,Finance - Stock Broking,87.99,NSE,24.95,-0.20,2,2025-09,4.36,2025-09,20.14,1.19,1.19,2,2025-03,0.04,8.37,12.52,"DBSTOCKBRO,"
Advik Capital Ltd.,ADVIKCA,Finance - NBFC,87.02,BSE,1.43,-1.38,2,2025-09,7.2,2025-09,12.09,0.09,0.5,2,2024-03,0.7,7.42,10.17,"ADVIKCA,"
WSFX Global Pay Ltd.,WSFX,Finance - NBFC,86.12,BSE,68.50,-10.06,1,2025-09,3.13,2025-09,27.55,0.51,2.22,1,2025-03,0.09,10.44,23.12,"WSFX,"
Trustedge Capital Ltd.,TRUSTEDGE,Finance - Investment,84.39,BSE,91.45,4.36,1,2025-09,-0.39,2025-09,0,0,1.55,1,2025-03,0,0.79,1.05,"TRUSTEDGE,"
Abhinav Capital Services Ltd.,ABHICAP,Finance - NBFC,84.34,BSE,121.80,5.00,1,2025-09,2.26,2025-09,37.24,12.58,1.1,1,2024-03,0.49,13.47,16.26,"ABHICAP,"
DhanSafal Finserve Ltd.,DHANSAFAL,Finance - NBFC,83.28,BSE,3.90,-3.70,1,2025-06,-0.1,2025-06,0,0,1.5,1,2025-03,0.24,1.26,1.95,"DHANSAFAL,"
HB Portfolio Ltd.,HBPOR,Finance - Investment,83.11,BSE,77.50,1.64,2,2025-06,-0.94,2025-06,0,0,0.3,2,2025-03,0,0.07,0.8,"HBPOR,"
SKP Securities Ltd.,SKPSEC,Finance - Investment,82.39,BSE,121.00,2.24,1,2025-09,8.61,2025-09,9.57,0.09,1.5,1,2025-03,0.2,21.59,27.53,"SKPSEC,"
DAR Credit & Capital Ltd.,DCCL,Finance - NBFC,82.09,NSE,57.50,,1,2025-03,7.04,2025-03,11.65,,0.83,1,2025-03,1.97,10.03,12.81,"DCCL,"
Mukesh Babu Financial Services Ltd.,MUKESHB,Finance - NBFC,82.08,BSE,117.75,-0.34,2,2025-09,-0.12,2025-09,52.52,-2.13,0.26,2,2025-03,0.13,0.17,1.4,"MUKESHB,"
Mena Mani Industries Ltd.,MENAMANI,Finance - Investment,81.28,BSE,8.10,,1,2025-06,0.38,2025-06,213.9,13.62,-157.28,1,2024-03,-20.17,0,4.55,"MENAMANI,"
Pioneer Investcorp Ltd.,PIONRINV,Finance - Investment,79.03,BSE,63.50,-3.23,2,2025-06,6.09,2025-06,9.62,0.47,0.5,2,2025-03,0.92,5.22,8.61,"PIONRINV,"
Ladderup Finance Ltd.,LADDERUP,Finance - NBFC,77.38,BSE,73.10,-3.51,2,2025-06,1.24,2025-06,27.07,0.5,1.02,2,2025-03,0.29,5.56,8.85,"LADDERUP,"
BN Rathi Securities Ltd.,BNRSEC,Finance - Stock Broking,77.19,BSE,18.68,-0.05,2,2025-06,7.36,2025-06,10.55,0.26,1.07,2,2025-03,0,14.07,20.19,"BNRSEC,"
Kreon Finnancial Services Ltd.,KREONFIN,Finance - NBFC,76.8,BSE,37.98,1.77,1,2025-09,1.31,2025-09,58.41,81.12,2.1,1,2025-03,1.02,-12.98,-1.99,"KREONFIN,"
My Money Securities Ltd.,MYMONEY,Finance - Stock Broking,74.66,BSE,44.40,-4.97,1,2025-06,-4.3,2025-06,0,0,2.89,1,2025-03,0.02,29.77,44.04,"MYMONEY,"
3P Land Holdings Ltd.,3PLAND,Finance - Investment,73.76,NSE,41.16,-0.91,2,2025-09,2.12,2025-09,34.83,-3.07,0.44,2,2025-03,0,1.75,2.31,"3PLAND,"
JA Finance Ltd.,JAFINANCE,Finance - Investment,73.6,BSE,69.12,5.00,1,2025-06,-0.14,2025-06,0,,3.64,1,2025-03,0.2,-0.21,5.63,"JAFINANCE,"
Banas Finance Ltd.,BANASFN,Finance - NBFC,73.45,BSE,8.21,0.86,2,2025-06,-9.03,2025-06,0,,0.38,2,2025-03,0,-15.31,-21.72,"BANASFN,"
Biogen Pharmachem Industries Ltd.,BIOGEN,Finance - Others,73.11,BSE,0.81,0.00,1,2025-09,1.72,2025-09,42.56,,0.74,1,2025-03,0,-0.52,-0.36,"BIOGEN,"
Aastamangalam Finance Ltd.,AASTAFIN,Finance - NBFC,72.99,BSE,46.98,9.00,1,2025-06,8.14,2025-06,8.97,0.04,0.95,1,2025-03,0.6,14.8,13.02,"AASTAFIN,"
Joindre Capital Services Ltd.,JOINDRE,Finance - Stock Broking,72.84,BSE,52.95,2.82,2,2025-06,7.27,2025-06,10.02,0.19,0.89,2,2025-03,0,13.12,17.67,"JOINDRE,"
Comfort Fincap Ltd.,COMFINCAP,Finance - NBFC,71.67,BSE,8.19,0.37,2,2025-09,6.26,2025-09,11.44,0.35,0.75,2,2025-03,0.26,7.41,9.91,"COMFINCAP,"
Virat Leasing Ltd.,VLL,Finance - NBFC,71.08,BSE,27.38,-4.93,1,2025-06,-0.39,2025-06,0,,4.6,1,2025-03,0.06,-1.94,-1.55,"VLL,"
HB Stockholdings Ltd.,HBSL,Finance - NBFC,70.97,NSE,98.82,18.80,2,2025-06,-11.01,2025-06,0,0,0.73,2,2025-03,0.15,-12.51,-9.27,"HBSL,"
Dhanlaxmi Cotex Ltd.,DHANCOT,Finance - Investment,70.63,BSE,145.00,-3.46,1,2025-06,3.86,2025-06,18.3,1.53,0.98,1,2025-03,0,8.02,9.78,"DHANCOT,"
Nexome Capital Markets Ltd.,NEXOME,Finance - Investment,70.52,BSE,120.00,-1.76,2,2025-09,2.82,2025-09,24.99,0.3,0.45,2,2025-03,0.02,0.84,1.49,"NEXOME,"
Regis Industries Ltd.,REGIS,Finance - NBFC,70.47,BSE,2.73,0.00,1,2025-06,1.53,2025-06,46.06,,1.94,1,2025-03,0,-1.27,-1.27,"REGIS,"
Morgan Ventures Ltd.,MORGAN,Finance - NBFC,69.89,BSE,70.70,0.90,1,2025-06,22.52,2025-06,3.1,0.02,0.77,1,2025-03,1.92,33.51,18.9,"MORGAN,"
Transwarranty Finance Ltd.,TFL,Finance - NBFC,69.63,NSE,12.70,-4.08,2,2025-06,-3.82,2025-06,0,0,2.3,2,2025-03,1.32,-17.66,-1.62,"TFL,"
GACM Technologies Ltd.,GATECH,Finance - Stock Broking,69.47,NSE,0.61,-1.61,2,2025-06,7.02,2025-06,9.9,,0.83,2,2025-03,0,14.53,16.43,"GATECH,"
Bampsl Securities Ltd.,BAMPSL,Finance - Investment,68.92,BSE,20.15,-1.23,1,2025-09,2.34,2025-09,29.5,0.8,1.7,1,2025-03,0,3.49,4.7,"BAMPSL,"
Toyam Sports Ltd.,TOYAMSL,Finance - Stock Broking,67.6,BSE,1.18,-0.84,2,2025-06,-52.3,2025-06,0,,0.23,2,2024-03,0,5.26,4.46,"TOYAMSL,"
Apoorva Leasing Finance And Investment Company Ltd,APOORVA,Finance - Investment,67.5,BSE,33.79,,2,2024-12,0.36,2024-12,132.08,-8.67,0.45,2,2024-03,0,1.33,1.78,"APOORVA,"
Lords Mark Industries Ltd.,LORDSMARK,Finance - NBFC,66.97,BSE,669.70,,1,2025-06,-6.71,2025-06,0,,-26.83,1,2024-03,0.28,-20.04,-8.49,"LORDSMARK,"
Mefcom Capital Markets Ltd.,MEFCOMCAP,Finance - Investment,66.4,BSE,14.81,1.51,2,2025-06,2.06,2025-06,36.57,-2.14,2.63,2,2025-03,0.41,-10.08,-6.94,"MEFCOMCAP,"
Annvrridhhi Ventures Ltd.,ANVRDHI,Finance - Investment,65.72,BSE,12.17,12.79,1,2025-06,0.35,2025-06,187.77,1.89,1.37,1,2024-03,0,-31.89,-31.73,"ANVRDHI,"
Gujarat Credit Corporation Ltd.,GUJCRED,Finance - NBFC,65.5,BSE,26.20,0.00,2,2025-06,-0.29,2025-06,0,,2.35,2,2025-03,1.09,-2.29,-1,"GUJCRED,"
Real Touch Finance Ltd.,RTFL,Finance - Investment,65.37,BSE,51.50,,1,2025-06,4.91,2025-06,13.32,0.41,1.37,1,2025-03,3.54,10.44,10.11,"RTFL,"
ARC Finance Ltd.,ARCFIN,Finance - NBFC,65.36,BSE,0.75,-1.32,1,2024-12,6.84,2025-03,19.73,1,0.66,1,2025-03,0.01,4.43,7.43,"ARCFIN,"
Hybrid Financial Services Ltd.,HYBRIDFIN,Finance - NBFC,65.17,NSE,22.41,4.87,2,2025-09,3.21,2025-09,20.32,0.44,1.49,2,2025-03,0.04,11.09,10.68,"HYBRIDFIN,"
Ceejay Finance Ltd.,CEEJAY,Finance - NBFC,64,BSE,185.50,-4.87,1,2025-06,6.75,2025-06,9.48,1.33,0.82,1,2025-03,0.62,9.36,11.73,"CEEJAY,"
ICDS Ltd.,ICDSLTD,Finance - NBFC,63.83,NSE,47.30,-1.87,2,2025-06,2.08,2025-06,30.63,1.02,2.37,2,2025-03,0.01,5.65,12.02,"ICDSLTD,"
ISL Consulting Ltd.,ISLCONSUL,Finance - Stock Broking,63.58,BSE,27.08,0.18,1,2025-06,-1.83,2025-06,0,,4.46,1,2025-03,0,-12.48,-12.46,"ISLCONSUL,"
Veeram Securities Ltd.,VSL,Finance - Others,63.24,BSE,8.37,0.97,1,2025-09,4.7,2025-09,13.46,0.53,2.13,1,2024-03,0,11.82,15.83,"VSL,"
Sai Capital Ltd.,SAICAPI,Finance - Investment,62.67,BSE,218.00,2.81,2,2025-06,12.07,2025-06,5.28,-0.28,0.18,2,2025-03,0.05,3.11,4.69,"SAICAPI,"
Srestha Finvest Ltd.,SRESTHA,Finance - Investment,60.68,BSE,0.37,0.00,1,2025-06,-63.82,2025-06,0,,0.35,1,2024-03,0.37,1.77,4.13,"SRESTHA,"
Dhruva Capital Services Ltd.,DHRUVCA,Finance - NBFC,60.24,BSE,148.30,-0.47,1,2025-06,0.94,2025-06,64.15,,5.46,1,2025-03,0.48,10.88,12.49,"DHRUVCA,"
Lakshmi Finance & Industrial Corporation Ltd.,LFIC,Finance - NBFC,60.22,NSE,200.74,-0.33,1,2025-06,2.55,2025-06,23.6,1.15,0.96,1,2024-03,0,20.11,24.86,"LFIC,"
Elixir Capital Ltd.,ELIXIR,Finance - Investment,59.92,BSE,103.40,1.32,2,2025-06,7.74,2025-06,10.51,0.3,0.99,2,2025-03,0.55,24.03,25.05,"ELIXIR,"
SPA Capital Services Ltd.,SPACAPS,Finance - Investment,59.72,BSE,194.25,5.00,1,2025-06,0.58,2025-06,103.14,,3.47,2,2024-03,1.45,2.29,1.46,"SPACAPS,"
Odyssey Corporation Ltd.,ODYCORP,Finance - Investment,59.66,BSE,8.01,-1.72,2,2025-06,5.14,2025-06,24.4,0.52,0.37,2,2025-03,0.05,3.24,3.76,"ODYCORP,"
Gowra Leasing & Finance Ltd.,GOWRALE,Finance - NBFC,59.22,BSE,108.57,5.00,1,2025-09,5.81,2025-09,10.2,0.22,1.65,1,2025-03,0.64,16.9,18.32,"GOWRALE,"
JMJ Fintech Ltd.,JMJFIN,Finance - NBFC,56.91,BSE,15.30,0.39,1,2025-06,4.49,2025-06,12.67,0.17,1.1,1,2025-03,0.89,26.38,31.26,"JMJFIN,"
NCL Research & Financial Services Ltd.,NCLRESE,Finance - NBFC,56.73,BSE,0.54,0.00,1,2025-06,2.51,2025-06,22.64,,0.49,1,2025-03,0,-1.21,-0.56,"NCLRESE,"
PH Capital Ltd.,PHCAP,Finance - Investment,55.92,BSE,185.00,-2.63,1,2025-06,13.64,2025-06,4.1,0.11,0.91,1,2025-03,0.01,15.6,21.79,"PHCAP,"
Modern Engineering And Projects Ltd.,MEAPL,Finance - Investment,54.63,BSE,35.36,-4.17,1,2025-06,7.99,2025-06,6.83,0.06,0.94,1,2025-03,0.1,26.36,23.52,"MEAPL,"
India Home Loan Ltd.,INDIAHOME,Finance - Housing,54.26,BSE,38.18,4.49,1,2025-06,0.16,2025-06,350.04,-9.39,1.31,1,2025-03,1.19,0.66,8.47,"INDIAHOME,"
Bridge Securities Ltd.,BRIDGESE,Finance - Investment,53.77,BSE,13.75,-0.36,1,2025-09,1.08,2025-09,49.74,1.68,9.66,1,2025-03,0,80.44,90.47,"BRIDGESE,"
Gogia Capital Growth Ltd.,GOGIACAPGL,Finance - Stock Broking,53.73,BSE,85.00,,1,2025-06,-0.93,2025-06,0,0,1.88,1,2024-03,0.04,-63.01,-47.54,"GOGIACAPGL,"
Savani Financials Ltd.,SAVFI,Finance - NBFC,53.57,BSE,16.98,4.11,1,2025-06,-9.75,2025-06,0,,1.43,1,2025-03,0.12,-43.86,-36.83,"SAVFI,"
Shri Niwas Leasing And Finance Ltd.,SHRINIWAS,Finance - Investment,53.46,BSE,12.16,,1,2025-06,-114.05,2025-06,0,0,-0.74,1,2025-03,-1,0,0,"SHRINIWAS,"
Sita Enterprises Ltd.,SITAENT,Finance - NBFC,52.78,BSE,175.95,-1.04,1,2025-09,3.97,2025-09,13.31,0.89,3.02,1,2025-03,0,7.53,8.32,"SITAENT,"
Futuristic Solutions Ltd.,FUTSOL,Finance - NBFC,52.37,BSE,50.00,-6.89,1,2025-06,0,2025-06,0,0,3.43,1,2025-03,0.03,-0.4,-0.11,"FUTSOL,"
East West Freight Carriers Ltd.,EASTWEST,Finance - Investment,52.18,BSE,4.09,-0.49,2,2025-06,0.57,2025-06,146.16,-139.2,0.78,2,2024-03,0.87,10.64,14.43,"EASTWEST,"
Ajcon Global Services Ltd.,AJCON,Finance - Investment,51.87,BSE,8.16,-0.37,2,2025-06,0.41,2025-06,134.37,7.21,2.19,2,2025-03,0.43,2.47,4.71,"AJCON,"
Arnold Holdings Ltd.,ARNOLD,Finance - NBFC,51.45,BSE,21.64,-1.64,1,2025-06,3.81,2025-06,13.52,0.49,0.81,1,2025-03,1.4,9.25,9.32,"ARNOLD,"
Sugal & Damani Share Brokers Ltd.,SUGALDAM,Finance - Stock Broking,51.13,BSE,82.00,-6.82,1,2025-06,5.35,2025-06,9.56,0.48,1.83,1,2024-03,0.18,11.46,15.84,"SUGALDAM,"
Madhusudan Securities Ltd.,MADHUSE,Finance - Investment,50.96,BSE,24.45,2.82,1,2025-06,-0.24,2025-06,0,,0.29,1,2024-03,0,0.11,0.14,"MADHUSE,"
21st Century Management Services Ltd.,21STCENMGM,Finance - Investment,50.57,NSE,47.89,1.98,2,2025-09,-20.09,2025-09,0,0,0.95,2,2025-03,0,23.66,37.51,"21STCENMGM,"
Marg Techno Projects Ltd.,MTPL,Finance - NBFC,49.84,BSE,49.85,3.85,1,2025-06,0.46,2025-06,108.11,7.44,3.92,1,2024-03,2.57,2.07,7.99,"MTPL,"
Key Corp Ltd.,KEYCORP,Finance - NBFC,49.67,BSE,83.00,2.12,1,2025-09,-4.61,2025-09,0,0,0.68,1,2025-03,0,6.59,6.57,"KEYCORP,"
Pan India Corporation Ltd.,PANINDIAC,Finance - Investment,49.28,BSE,2.30,0.00,1,2025-09,-4.04,2025-09,0,,5.79,1,2025-03,0,-36.36,-36.35,"PANINDIAC,"
Salem Erode Investments Ltd.,SALEM,Finance - NBFC,48.16,BSE,42.00,5.00,1,2025-06,-4.41,2025-06,0,,2.62,1,2025-03,0.65,-21.72,-6.95,"SALEM,"
Capfin India Ltd.,CAPFIN,Finance - Investment,47.73,BSE,162.45,,1,2025-06,-0.09,2025-06,0,0,7.58,1,2024-03,0,-16.35,-23.55,"CAPFIN,"
Indus Finance Ltd.,INDUSFINL,Finance - NBFC,47.66,BSE,51.50,1.78,1,2025-09,0.43,2025-09,110.07,1.66,2.72,1,2025-03,1.14,5.99,8.99,"INDUSFINL,"
Ad-Manum Finance Ltd.,ADMANUM,Finance - NBFC,47.33,BSE,63.11,-1.44,1,2025-09,9.49,2025-09,4.99,0.39,0.54,1,2025-03,0.1,11.8,15.23,"ADMANUM,"
Mask Investments Ltd.,MASKINVEST,Finance - Investment,46.75,NSE,153.20,-4.25,1,2025-06,0,2025-06,0,0,0.48,1,2024-03,0.01,0.02,0.04,"MASKINVEST,"
TCFC Finance Ltd.,TCFCFINQ,Finance - NBFC,45.96,BSE,46.20,3.13,1,2025-09,0.22,2025-09,208.92,3.01,0.41,1,2025-03,0,1.11,1.27,"TCFCFINQ,"
Sainik Finance & Industries Ltd.,SAINIK,Finance - NBFC,45.66,BSE,41.97,4.93,1,2025-06,6.29,2025-06,7.26,0.83,1.01,1,2025-03,1.92,15.13,11.76,"SAINIK,"
Kalyan Capitals Ltd.,KALYANCAP,Finance - Others,45.48,BSE,8.80,0.46,2,2025-06,4.3,2025-06,12.65,5.38,0.88,2,2025-03,3.77,6.36,10.78,"KALYANCAP,"
Ruparel Food Products Ltd.,RFL,Finance - Housing,45.38,BSE,147.25,0.00,2,2025-06,-0.17,2025-06,0,,12.54,2,2025-03,0,-5.79,-5.79,"RFL,"
NAM Securities Ltd.,NAM,Finance - Stock Broking,44.75,BSE,83.00,-1.47,1,2025-03,0.36,2025-03,125.36,34.07,3.83,1,2024-03,0,3.06,4.17,"NAM,"
RKD Agri & Retail Ltd.,RKDAGRRTL,Finance - Investment,44.6,BSE,7.63,,1,2025-06,-0.22,2025-06,0,0,9.85,1,2025-03,0.13,-2.71,-2.16,"RKDAGRRTL,"
Yamini Investments Ltd.,YAMNINV,Finance - Investment,44.16,BSE,0.84,1.20,1,2025-06,0.46,2025-06,97.06,1.92,0.64,1,2025-03,0.28,2.12,3.7,"YAMNINV,"
Morarka Finance Ltd.,MORARKFI,Finance - NBFC,44.06,BSE,97.83,1.20,1,2025-09,1.87,2025-09,23.52,-2.18,0.41,1,2025-03,0,2.17,2.46,"MORARKFI,"
Glance Finance Ltd.,GLANCE,Finance - NBFC,43.9,BSE,194.60,-11.55,1,2025-09,0.68,2025-09,64.18,0.78,0.82,1,2025-03,0.08,5.71,9.55,"GLANCE,"
Viji Finance Ltd.,VIJIFIN,Finance - NBFC,43.75,NSE,3.02,1.68,1,2025-09,0.16,2025-09,278.65,-13.34,2.09,2,2024-03,0.99,1.14,1.52,"VIJIFIN,"
Challani Capital Ltd.,CHALLANI,Finance - NBFC,43.42,BSE,28.86,4.57,1,2025-06,2.14,2025-06,20.27,0.62,5.45,1,2025-03,0,28.18,28.19,"CHALLANI,"
Sumedha Fiscal Services Ltd.,SUMEDHA,Finance - Investment,42.72,BSE,53.50,0.04,2,2025-06,8.24,2025-06,5.21,0.15,0.63,2,2025-03,0,11.94,15.11,"SUMEDHA,"
Kiduja India Ltd.,KIDUJA,Finance - NBFC,41.93,BSE,17.47,4.99,1,2025-09,-16.84,2025-09,0,,-1.84,1,2025-03,-3.2,0,5.75,"KIDUJA,"
Libord Finance Ltd.,LIBORDFIN,Finance - NBFC,41.73,BSE,26.79,-8.60,1,2025-09,-0.36,2025-09,0,0,2.38,2,2024-03,0,1.19,1.72,"LIBORDFIN,"
Relic Technologies Ltd.,RELICTEC,Finance - Stock Broking,41.53,BSE,80.65,,2,2025-09,-5.06,2025-06,0,,3.17,2,2025-03,0.42,-34.16,-16.68,"RELICTEC,"
Sujala Trading & Holdings Ltd.,SUJALA,Finance - Investment,41.53,BSE,73.00,-0.31,1,2025-06,-0.29,2025-06,0,,2.6,1,2025-03,0.5,-0.86,-0.61,"SUJALA,"
Oasis Securities Ltd.,OASISEC,Finance - NBFC,40.81,BSE,22.98,2.59,1,2025-06,0.77,2025-06,53,2.6,2.94,1,2025-03,0,6.79,8.75,"OASISEC,"
Nagreeka Capital & Infrastructure Ltd.,NAGREEKCAP,Finance - NBFC,40.75,NSE,31.42,-4.53,1,2025-06,17.78,2025-06,2.29,0.13,1.65,1,2025-03,4.51,156.68,29.22,"NAGREEKCAP,"
Continental Securities Ltd.,CSL,Finance - NBFC,40.63,BSE,13.89,4.12,1,2025-09,1.77,2025-09,22.9,0.55,1.77,1,2025-03,0.02,10.34,12.66,"CSL,"
CMX Holdings Ltd.,CMXLTD,Finance - Investment,39.6,BSE,34.91,4.99,1,2025-06,-0.33,2025-06,0,0,-6.9,1,2025-03,-1.01,0,-1012.7,"CMXLTD,"
Anupam Finserv Ltd.,ANUPAM,Finance - NBFC,39.47,BSE,2.08,0.48,1,2025-06,0.64,2025-06,61.39,-13.67,1.37,1,2024-03,0.15,6.21,8.48,"ANUPAM,"
Ind Bank Housing Ltd.,INDBNK,Finance - Housing,39.4,BSE,39.40,0.54,1,2025-09,-0.24,2025-09,0,,-0.33,1,2025-03,-1.07,0,-3.71,"INDBNK,"
Walchand Peoplefirst Ltd.,WALCHPF,Finance - Investment,39.17,BSE,138.45,2.14,1,2025-09,2.77,2025-09,14.13,0.41,1.34,1,2025-03,0.01,6.79,8.15,"WALCHPF,"
Kapil Raj Finance Ltd.,KAPILRAJ,Finance - NBFC,39.17,BSE,3.58,-4.28,1,2025-09,0.32,2025-09,120.51,,2.81,1,2024-03,0,-0.17,-0.19,"KAPILRAJ,"
KJMC Financial Services Ltd.,KJMCFIN,Finance - NBFC,39.13,BSE,81.76,-0.30,2,2025-06,1.43,2025-06,28.6,1.41,0.22,2,2025-03,0.02,0.61,1.37,"KJMCFIN,"
GDL Leasing & Finance Ltd.,GDLLEAS,Finance - NBFC,37.93,BSE,75.70,1.99,1,2025-06,0.55,2025-06,68.34,0.61,6.01,1,2024-03,0,3.18,4.31,"GDLLEAS,"
Epuja Spiritech Ltd.,EPUJA,Finance - Investment,37.89,BSE,3.65,9.94,2,2025-06,-0.06,2025-06,0,,2.17,2,2025-03,0.07,1.27,0.83,"EPUJA,"
Monotype India Ltd.,MONOT,Finance - Stock Broking,37.27,BSE,0.53,-3.64,1,2025-06,10.29,2025-06,3.62,,-20,1,2025-03,-5.4,0,285.68,"MONOT,"
Shreevatsa Finance & Leasing Ltd.,SHVFL,Finance - NBFC,37.12,BSE,36.75,2.14,1,2025-06,0.54,2025-06,68.61,17.96,1.62,1,2025-03,0,2,2.44,"SHVFL,"
Williamson Magor & Company Ltd.,WILLAMAGOR,Finance - NBFC,36.25,NSE,32.14,-3.95,2,2025-06,27.29,2025-06,1.33,,-0.16,2,2025-03,-2.44,0,-53.61,"WILLAMAGOR,"
SP Capital Financing Ltd.,SPCAPIT,Finance - NBFC,36.06,BSE,61.99,4.55,2,2025-06,2.76,2025-06,13.04,0.31,1.33,2,2025-03,4.01,3.66,4.33,"SPCAPIT,"
Sahara Housingfina Corporation Ltd.,SAHARAHOUS,Finance - Housing,35.86,BSE,51.23,-1.99,1,2025-06,0.63,2025-06,57.19,-2.76,0.68,1,2025-03,0.43,1.25,4.04,"SAHARAHOUS,"
Ramchandra Leasing & Finance Ltd.,RLFL,Finance - NBFC,35.71,BSE,6.98,4.96,1,2025-06,0.02,2025-06,0,0,6.36,1,2024-03,0.06,0.3,0.3,"RLFL,"
